1202505270238999990547     ESAP                                                                                         
5268836400        020101                                                                                                
6900022298       CONCEJO MUNICIPA000010407972815610     20250515000001400000000000007200002030000026                    
6800165945       DIRECCION EJECUT000010029486373291     20250415000009840000000000053200002030000027                    
68300166247      PARQUES NACIONAL0000100177969832       20250115000002890000000000001700002030000028                    
68905018764      ALCALDIA DE SAN 0000105133535193       20250515000001860000000000015100002030000029                    
68300413144      DIRECCION SANIDA0000102333502753       20250515000089860000000001759700002030000030                    
68903990113      SANTIAGO DE CALI000010121072690504     20240915000002880000000000085500002030000031                    
6800099238       MUNICIPIO DE EL 000010077972188225     20250515000001070000000000039900002030000032                    
68280014216      CONCEJO MUNICIPA0000100733468434       20250415000001860000000000013000002030000033                    
68923999991      GOBERNACION DEL 0000100133543144       20250515000222860000000008347900002030000034                    
6800131177       MUNICIPIO  DE CH000010407972581075     20250515000001400000000000010100002030000035                    
68999990619      SECRETARIA DISTR0000100785142039       20240615000001830000000000047100002030000036                    
6800113672       GOBIERNO DEPARTA000010519486181525     20250515000283840000000009179000002030000037                    
68001136727      SECRETARIA DE ED0000100277980166       20250515001058890000000014657700002030000038                    
6800131177       MUNICIPIO  DE CH000010407972577681     20250515000001400000000000047200002030000039                    
6800099238       MUNICIPIO DE EL 000010077972188748     20250515000001070000000000008300002030000040                    
6800029513       MUNICIPIO DE QUI000010137972716183     20250515000001130000000000280400002030000041                    
6800131177       MUNICIPIO  DE CH000010407972576144     20250515000001400000000000141600002030000042                    
6800113672       GOBIERNO DEPARTA000010519486219467     20250415000001840000000000028800002030000043                    
6890680008       MUNICIPIO DE FUS000010329486419254     20250515000021840000000000360900002030000044                    
68918017964      MUNICIPIO DE CAL0000105133561247       20250515000014860000000000171100002030000045                    
68001005145      MUNICIPIO DE DAG0000100133553890       20250515000070860000000001139500002030000046                    
68918012820      MUNICIPIO DE SAN0000105133533041       20250515000002860000000000012900002030000047                    
68000907351      CONTRALORIA DEPA000010071072922395     20250515000134880000000004221400002030000048                    
68000907351      CONTRALORIA DEPA000010071072859615     20250515000002880000000000022200002030000049                    
6891500856       MUNICIPIO DE PIE000010079486695484     20250515000048840000000000731700002030000050                    
68300413144      DIRECCION SANIDA0000102333554210       20250515001190860000000023965800002030000051                    
68000998241      ALCALDIA MUNICIP0000101333523529       20250515000086860000000001801100002030000052                    
68000907351      CONTRALORIA DEPA000010071072845555     20250515000003880000000000007800002030000053                    
6800131177       MUNICIPIO  DE CH000010407972794923     20250515000001400000000000039800002030000054                    
6899999001       MINISTERIO DE ED000010137972376781     20250515000001130000000004051600002030000055                    
6800099238       MUNICIPIO DE EL 000010077972500075     20250515000001070000000000446900002030000056                    
6800131177       MUNICIPIO  DE CH000010407972540778     20250515000001400000000000007600002030000057                    
68000998241      ALCALDIA MUNICIP0000101333513231       20250515000003860000000000072700002030000058                    
68320023184      MUNICIPIO DE EL 0000100733549182       20250515000046860000000000734500002030000059                    
68903990295      DEPARTAMENTO DEL0000100286667693       20250515006095830000000163633300002030000060                    
68905018764      ALCALDIA DE SAN 0000100133543510       20250515000011860000000000149700002030000061                    
6845000003       ASAMBLEA DEPARTA000010407972692004     20250515000001400000000001133500002030000062                    
68002547341      PERSONERIA DISTR0000100133548929       20250515000003860000000000088800002030000063                    
68190018341      CONCEJO DISTRITA0000105133553590       20250515000025860000000000704200002030000064                    
6890480184       ALCADIA MAYOR DE000010029486220455     20250515000013840000000000273000002030000065                    
68905018764      ALCALDIA DE SAN 0000105133535202       20250515000003860000000000050900002030000066                    
6800131177       MUNICIPIO  DE CH000010407972574389     20250515000001400000000000007900002030000067                    
6815000290       PERSONERIA MUNIC000010139486724822     20250515000012840000000000240700002030000068                    
68140021333      PERSONERIA MUNIC0000104033561283       20250515000002860000000000038500002030000069                    
68000954668      ALCALDIA MUNICIP0000100786103758       20250315000050830000000000793000002030000070                    
6899999119       PROCURADURIA GEN000010529486027511     20250415000001840000000000056700002030000071                    
6899999119       PROCURADURIA GEN000010529486031079     20250415000003840000000000311800002030000072                    
6890480184       ALCADIA MAYOR DE000010519486082036     20250515000022840000000000366300002030000073                    
68020097101      PERSONERIA MUNIC0000100733563902       20250115000001860000000000009600002030000074                    
68300166247      PARQUES NACIONAL0000100177956198       20250515000043890000000000932800002030000075                    
68020097101      PERSONERIA MUNIC0000100733563958       20250215000001860000000000009400002030000076                    
68020097101      PERSONERIA MUNIC0000100733563970       20250415000001860000000000009100002030000077                    
6890480184       ALCADIA MAYOR DE000010519486083549     20250515000016840000000000269900002030000078                    
6800056348       CONTRALORIA MUNI000010137972508769     20250515000001130000000000495400002030000079                    
68020097101      PERSONERIA MUNIC0000100733563926       20241215000001860000000000009800002030000080                    
6800196692       CONCEJO MUNICIPA000010611748013945     20250501000001820000000000022000002030000081                    
6800065474       ALCALDIA MUNICIP000010407972155335     20250415000001400000000000038900002030000082                    
6891680057       MUNICIPIO DE CON000010407972843231     20250415000001400000000000010500002030000083                    
68000959787      MUNICIPIO DE PAD0000104086727211       20250415000002830000000000034900002030000084                    
6832000669       CONTRALORIA MUNI000010077972269527     20250515000001070000000000386800002030000085                    
6800065474       ALCALDIA MUNICIP000010407972155254     20250415000001400000000000006700002030000086                    
6891680057       MUNICIPIO DE CON000010407972839560     20250415000001400000000000022200002030000087                    
68000959787      MUNICIPIO DE PAD0000104086405525       20250415000001830000000000008000002030000088                    
68300166247      PARQUES NACIONAL0000100177970025       20250315000002890000000000022100002030000089                    
6822001228       DIRECCION SECCIO000010029486045335     20250415000016840000000000076000002030000090                    
6891680057       MUNICIPIO DE CON000010407972838491     20250315000001400000000000022700002030000091                    
6800065474       ALCALDIA MUNICIP000010407972154886     20250415000001400000000000017300002030000092                    
6892301541       MUNICIPIO DE AST000010407972590627     20250515000001400000000000610900002030000093                    
6800093437       MUNICIPIO DE SAN000010079486018821     20250515000036840000000000459000002030000094                    
6809002773       PERSONERIA MUNIC000010137972865022     20250515000001130000000000040600002030000095                    
6800065474       ALCALDIA MUNICIP000010407972155211     20250415000001400000000000009100002030000096                    
6892099246       MUNICIPIO DE SAN000010407972675355     20250515000001400000000000132200002030000097                    
6890980093       MUNICIPIO DE ITA000010077968906776     20250215000001070000000000010600002030000098                    
6822001228       DIRECCION SECCIO000010029486045664     20250415000010840000000000019400002030000099                    
68040067800      PERSONERIA MUNIC0000100733540048       20250515000023860000000000934600002030000100                    
6832003307       CONCEJO MUNICIPA000010077972711475     20250515000001070000000000208700002030000101                    
6890399011       SANTIAGO DE CALI000010127856049576     20220415000001120000000000030000002030000102                    
69013562200      PERSONERIA MUNIC0000104033542199       20250515000002860000000000038000002030000103                    
69013584861      CONCEJO MUNICIPA0000104033542206       20250515000001860000000000008100002030000104                    
6800165945       DIRECCION EJECUT000010029485896134     20250415000001840000000000013300002030000105                    
6890480184       ALCADIA MAYOR DE000010519486081320     20250515000011840000000000207800002030000106                    
6820002529       CONCEJO MOTAVITA000010409486445941     20250515000001840000000000009100002030000107                    
6890702027       ALCALDIA MUNICIP000010239486468546     20250515000115840000000002306600002030000108                    
68000907351      CONTRALORIA DEPA000010071072900649     20250515000019880000000000575500002030000109                    
6812002475       PERSONERIA MUNIC000010011111872611     20250501000001010000000000040600002030000110                    
6890680008       MUNICIPIO DE FUS000010329486434483     20250515000023840000000000497100002030000111                    
6890680008       MUNICIPIO DE FUS000010329486434640     20250515000012840000000000256100002030000112                    
6800099714       MUNICIPIO DE BUS000010017972806611     20250515000001010000000000007200002030000113                    
6890680008       MUNICIPIO DE FUS000010329486434309     20250515000025840000000000614700002030000114                    
6822002189       PERSONERIA MUNIC000010517972703421     20250515000001510000000000024500002030000115                    
68920992428      MUNICIPIO DE LEJ0000104033491638       20250515000034860000000000486100002030000116                    
68920991057      MUNICIPIO DE INI0000104033550451       20250515000063860000000001185000002030000117                    
6891900272       ALCALDIA MUNICIP000010079486190808     20250415000005840000000000024300002030000118                    
68918013692      MUNICIPIO DE SAN0000105133563196       20250515000019860000000000292700002030000119                    
68002312531      CONCEJO MUNICIPA0000104033422827       20250415000002860000000000018800002030000120                    
6890801145       MUNICIPIO DE MAR000010407972623819     20250515000001400000000000038600002030000121                    
6899999450       MUNICIPIO DE ALB000010077972834127     20250515000001070000000000312100002030000122                    
6822002457       PERSONERIA MUNIC000010017971039285     20250515000001010000000000052700002030000123                    
6824000400       CONCEJO MUNICIPA000010019486728544     20250501000001840000000000007200002030000124                    
6820000361       PERSONERIA MUNIC000010019486683874     20250501000002840000000000037100002030000125                    
6819002038       PERSONERIA MUNIC000010019486516340     20250501000002840000000000055000002030000126                    
6822000713       PERSONERIA MUNIC000010017972866411     20250515000001010000000000037100002030000127                    
6822000671       CONCEJO MUNICIPA000010407972872487     20250515000001400000000000007800002030000128                    
6812002217       PERSONERIA MUNIC000010017972873254     20250515000001010000000000039500002030000129                    
6800229868       CONCEJO MUNICIPA000010407972874234     20250515000001400000000000028000002030000130                    
6891802151       MUNICIPIO DE SAN000010409486757328     20250515000021840000000000302600002030000131                    
6891801994       MUNICIPIO DE MOT000010079486702061     20250515000003840000000000033200002030000132                    
68999994604      MUNICIPIO DE EL 0000100786888738       20250515000023830000000000373300002030000133                    
6901482523       PERSONERIA MUNIC000010409486369440     20250515000001840000000000029900002030000134                    
69012736055      PERSONERIA MUNIC0000101386711273       20250515000002830000000000092400002030000135                    
6800165945       DIRECCION EJECUT000010029486690135     20250415000002840000000000028700002030000136                    
6800113672       GOBIERNO DEPARTA000010239486216179     20250515000080840000000002002800002030000137                    
6890801145       MUNICIPIO DE MAR000010407972624246     20250515000001400000000000232600002030000138                    
6832000992       ALCALDIA MUNICIP000010019486758822     20250515000025840000000000366900002030000139                    
68280010261      PERSONERIA MUNIC0000100133553006       20250515000001860000000000029800002030000140                    
6890801145       MUNICIPIO DE MAR000010407972623665     20250515000001400000000000040900002030000141                    
6890801145       MUNICIPIO DE MAR000010407972623525     20250515000001400000000000009500002030000142                    
6900078566       CONCEJO MUNICIPA000015079485818500     20250515000001840000000000007200002030000143                    
6891380115       MUNICIPIO DE PRA000010079486661572     20250515000008840000000000155400002030000144                    
6800065474       ALCALDIA MUNICIP000010407972155025     20250415000001400000000000010700002030000145                    
6891380115       MUNICIPIO DE PRA000010079486760777     20250515000014840000000000225200002030000146                    
6800093816       RAMA JUDICIAL   000010139486236001     20250415000008840000000000030000002030000147                    
6800065474       ALCALDIA MUNICIP000010407972154827     20250415000001400000000000063500002030000148                    
6824003016       PERSONERIA DE BE000010011111873480     20250501000001010000000000009500002030000149                    
6800065474       ALCALDIA MUNICIP000010407972154738     20250415000001400000000000283700002030000150                    
6901236769       CONCEJO MUNICIPA000010409486717410     20250515000001840000000000009100002030000151                    
68001028385      GOBERNACION DE A0000100733540319       20250515000128860000000004428800002030000152                    
69008084569      PERSONERIA MUNIC0000100133562311       20250515000002860000000000037500002030000153                    
6800187621       FISCALIA GEnERAL0000105286730728       20250515000487830000000015076100002030000154                    
68001306324      EJERCITO NACIONA0000102378134227       20250415000001890000000000011200002030000155                    
6890399029       DEPARTAMENTO DEL0000102386673506       20250415000002830000000000016000002030000156                    
6890399029       DEPARTAMENTO DEL0000102386673446       20250515001187830000000024900800002030000157                    
8000157012905000000032737050000                                                                                         
900000157012905000000032737050000000001                                                                                 
